"year","zone","destination","method","mean"
"2003","S01001794","Post Office","Car",2
"2009","S01001794","Cash Machine","Public Transport","22.7"
"2009","S01001794","Citizens Advice Bureau","Public Transport","54.8"
"2009","S01001794","Chemists And Pharmacies","Public Transport","17.1"
"2009","S01001794","Further Education Establishment","Public Transport","14.7"
"2009","S01001794","General Store","Public Transport","24.1"
"2006","S01001794","GP","Public Transport","17.1"
"2012","S01001794","GP","Public Transport","12.4"
"2009","S01001794","GP","Public Transport","12.6"
"2009","S01001794","Higher Education Establishment","Public Transport","24.7"
"2009","S01001794","Jobcentre Plus","Public Transport","28.6"
"2009","S01001794","Library","Public Transport",5
"2009","S01001794","Nursery","Public Transport",9
"2009","S01001794","Police Station","Public Transport","5.3"
"2012","S01001794","Post Office","Public Transport","5.7"
"2009","S01001794","Post Office","Public Transport","5.6"
"2006","S01001794","Post Office","Public Transport","3.7"
"2012","S01001794","Shopping Facilities","Public Transport","5.1"
"2009","S01001794","Shopping Facilities","Public Transport","5.6"
"2006","S01001794","Shopping Facilities","Public Transport","3.2"
"2009","S01001794","Banks And Building Societies","Public Transport","4.5"
"2007","S01001795","General Store","Car","3.9"
"2012","S01001795","Post Office","Car","4.3"
"2006","S01001795","Primary School","Car","1.9"
"2007","S01001795","Primary School","Car","3.1"
"2009","S01001795","Primary School","Car","0.7"
"2012","S01001795","Primary School","Car",5
"2003","S01001795","Primary School","Car","3.2"
"2012","S01001795","Secondary School","Car","5.2"
"2007","S01001795","Secondary School","Car","5.1"
"2006","S01001795","Secondary School","Car","5.1"
"2009","S01001795","Secondary School","Car","2.1"
"2007","S01001795","Bank Or Building Society","Car","1.8"
"2012","S01001795","Shopping Facilities","Car","7.8"
"2003","S01001795","GP","Car",4
"2007","S01001795","Citizens Advice Bureau","Car",14
"2007","S01001795","Shopping Facilities","Car","5.5"
"2006","S01001795","Shopping Facilities","Car","5.5"
"2009","S01001795","Shopping Facilities","Car","2.2"
"2003","S01001795","Supermarket","Car","6.2"
"2006","S01001795","GP","Car","4.1"
"2012","S01001795","GP","Car","4.3"
"2007","S01001795","GP","Car","4.1"
"2009","S01001795","Citizens Advice Bureau","Car",5
"2007","S01001795","Cash Machine","Car","1.7"
"2009","S01001795","GP","Car","1.6"
"2007","S01001795","Higher Education Establishment","Car","7.7"
"2009","S01001795","Chemists And Pharmacies","Car","0.7"
"2009","S01001795","Higher Education Establishment","Car","3.2"
"2009","S01001795","Jobcentre Plus","Car","2.6"
"2009","S01001795","Cash Machine","Car","0.5"
"2007","S01001795","Jobcentre Plus","Car","5.5"
"2009","S01001795","Library","Car","2.2"
